,open,high,low,close,volume,quote_volume,trades,taker_buy_base,funding_rate,mark_close,index_close,open_interest,long_short_ratio,ret,funding_apr
2023-01-01 00:00:00+00:00,2200.211738591555,2201.1978700960613,2198.359815744357,2200.211738591555,5618.678511609801,12362282.41661601,4689.903240771461,2371.5872765335603,3.876674217325353e-05,2199.9963509692693,2200.4916431346014,797989.1643276904,1.057257772422849,0.0,0.04244958267971262
2023-01-01 01:00:00+00:00,2200.211738591555,2203.8925212399718,2199.4233195847464,2203.0418849243338,5125.282845545927,11291212.78082185,3296.979101175599,3132.5016977003716,4.960473933327865e-05,2202.9511568382936,2203.0517718994306,795470.5663767341,1.0604212544311502,0.001286306350947175,0.05431718956994012
2023-01-01 02:00:00+00:00,2203.0418849243338,2203.9953701142863,2200.6093488069155,2200.8273272536276,7420.084544919214,16330324.836990504,3098.7138487379975,4643.68693604277,1.114627747994516e-05,2200.4167825882973,2200.9795846675643,794812.2643733433,0.9266473617531283,-0.0010052272205356427,0.012205173840539952
2023-01-01 03:00:00+00:00,2200.8273272536276,2201.13504175068,2191.592694827072,2193.188160625973,7769.241585730364,17039408.662866794,4235.92432069293,3575.0109207254304,8.145896163489243e-05,2192.8228268795956,2193.4202906314454,797214.2059184094,0.8401305262498218,-0.003471043154115727,0.08919756299020722
2023-01-01 04:00:00+00:00,2193.188160625973,2193.3220265751247,2189.099979467922,2189.39973745011,8641.535501223407,18919775.557544332,3426.8116123229634,5291.751618985492,4.051974694148185e-05,2189.3667923269254,2189.5739173644815,797596.1094749313,0.908655435518954,-0.0017273589397737155,0.044369122900922625
2023-01-01 05:00:00+00:00,2189.39973745011,2191.0505298431235,2180.0773348329444,2180.915239803002,8301.219778979237,18104256.724929925,3633.2016455181974,3855.2344509198792,-3.066910694139299e-05,2180.953112657577,2180.809064658186,800515.3084913868,1.0740951008515598,-0.003875262019072734,-0.03358267210082533
2023-01-01 06:00:00+00:00,2180.915239803002,2182.8706176945607,2178.7436240785305,2181.639082542462,7021.137069775467,15317587.03530982,1461.9260817289673,3400.846750022261,-1.6538188799532262e-05,2181.424409820285,2181.6068700606106,800252.263183789,0.914817480628622,0.00033189861130300535,-0.018109316735487827
2023-01-01 07:00:00+00:00,2181.639082542462,2195.0075976578996,2180.417832562999,2193.5337828232405,7490.164094087905,16429927.979271453,3338.719491984421,3894.4692696897514,7.027355302473112e-05,2193.6977335930123,2193.5565556943307,799632.1324620725,0.963237988179996,0.005452185183131508,0.07694954056208057
2023-01-01 08:00:00+00:00,2193.5337828232405,2195.293732742672,2188.273113356093,2189.4154190368604,2414.141827708628,5285559.341327098,2297.297656771901,1005.2253279133301,5.319157282280299e-05,2189.3433474072094,2189.242740947926,796847.6576926953,1.0176315247453742,-0.0018775018732920534,0.05824477224096928
2023-01-01 09:00:00+00:00,2189.4154190368604,2189.9192170170336,2182.1111145956966,2184.181456399306,7293.27879168797,15929844.2931552,1117.4684986947918,3137.822621624199,-6.495306195033005e-05,2183.8473051113624,2184.26433097368,795695.2085999709,1.097949438538871,-0.0023905753983667344,-0.07112360283561141
